product_id,product_name,category,unit_price,cost
P001,Espresso,Coffee,3.0,0.8
P002,Americano,Coffee,3.5,0.85
P003,Latte,Coffee,4.5,1.1
P004,Cappuccino,Coffee,4.25,1.05
P005,Cold Brew,Coffee,4.75,1.2
P006,Mocha,Coffee,5.0,1.4
P007,Green Tea,Tea,3.25,0.5
P008,Chai Latte,Tea,4.5,1.0
P009,Earl Grey,Tea,3.25,0.5
P010,Matcha Latte,Tea,5.25,1.3
P011,Croissant,Pastry,3.75,1.25
P012,Blueberry Muffin,Pastry,3.5,1.1
P013,Chocolate Cookie,Pastry,2.75,0.7
P014,Almond Scone,Pastry,3.95,1.3
P015,Cinnamon Roll,Pastry,4.25,1.45
P016,Bottled Water,Other,2.0,0.5
P017,Turkey Sandwich,Other,8.5,3.2
P018,Veggie Wrap,Other,7.95,2.8
