transaction_id,date,store_id,product_id,quantity,unit_price
T007812,2024-02-28 12:33:00,S03,P010,1,5.25
T016621,2024-04-30 09:48:00,S01,P010,2,5.25
T004384,2024-02-03 08:04:00,S01,P002,1,3.5
T013536,2024-04-08 09:17:00,S03,P018,1,7.95
T006338,2024-02-17 11:12:00,S03,P012,1,3.5
T013503,2024-04-08 12:27:00,S03,P006,1,5.0
T016203,2024-04-27 16:25:00,S02,P006,1,5.0
T006769,2024-02-21 09:21:00,S01,P016,1,2.0
T000439,2024-01-04 14:35:00,S02,P002,2,3.5
T015006,2024-04-19 12:32:00,S01,P012,2,3.5
T008943,2024-03-07 16:07:00,S02,P014,1,3.95
T002627,2024-01-20 12:13:00,S03,P012,1,3.5
T003552,2024-01-27 07:31:00,S03,P016,1,2.0
T014162,2024-04-13 09:34:00,S02,P004,1,4.25
T009973,2024-03-14 09:57:00,S03,P003,1,4.5
T010310,2024-03-17 09:19:00,S01,P006,1,5.0
T016063,2024-04-26 08:49:00,S02,P006,1,5.0
T013706,2024-04-10 14:29:00,S01,P003,1,4.5
T012454,2024-04-01 13:01:00,S02,P004,2,4.25
T007902,2024-02-29 15:16:00,S02,P005,1,4.75
T005715,2024-02-12 13:55:00,S03,P002,3,3.5
T006850,2024-02-21 13:32:00,S03,P008,1,4.5
T007012,2024-02-23 15:57:00,S01,P011,1,3.75
T008480,2024-03-04 13:48:00,S01,P014,2,3.95
T015229,2024-04-20 13:45:00,S02,P002,1,3.5
T009510,2024-03-11 10:10:00,S01,P004,1,4.25
T007335,2024-02-25 09:43:00,S01,P013,1,2.75
T014894,2024-04-18 08:55:00,S02,P004,1,4.25
T002628,2024-01-20 09:58:00,S03,P006,1,5.0
T015088,2024-04-19 12:09:00,S03,P014,1,3.95
T008430,2024-03-03 07:25:00,S03,P001,1,3.0
T007015,2024-02-23 13:13:00,S01,P003,1,4.5
T014502,2024-04-15 07:07:00,S02,P014,1,3.95
T004340,2024-02-02 09:16:00,S03,P003,1,4.5
T005355,2024-02-10 09:52:00,S02,P011,1,3.75
T004994,2024-02-07 11:51:00,S02,P003,1,4.5
T008236,2024-03-02 09:25:00,S02,P004,1,4.25
T008400,2024-03-03 09:08:00,S02,P001,2,3.0
T013067,2024-04-06 11:58:00,S01,P007,3,3.25
T001746,2024-01-14 11:48:00,S01,P001,1,3.0
T016620,2024-04-30 08:41:00,S01,P001,1,3.0
T004189,2024-02-01 10:50:00,S02,P012,1,3.5
T004188,2024-02-01 13:21:00,S02,P004,2,4.25
T011494,2024-03-25 11:35:00,S03,P002,1,3.5
T011199,2024-03-23 10:39:00,S03,P005,1,4.75
T016387,2024-04-28 11:59:00,S02,P003,2,4.5
T012351,2024-03-31 10:58:00,S03,P004,1,4.25
T002869,2024-01-22 13:16:00,S02,P017,1,8.5
T016474,2024-04-28 16:57:00,S03,P007,1,3.25
T011165,2024-03-23 18:38:00,S03,P017,1,8.5
T002469,2024-01-19 13:00:00,S02,P010,1,5.25
T002709,2024-01-21 07:16:00,S01,P014,1,3.95
T009740,2024-03-12 13:31:00,S03,P012,1,3.5
T012484,2024-04-01 10:33:00,S03,P001,1,3.0
T011764,2024-03-27 07:39:00,S03,P001,1,3.0
T013884,2024-04-11 11:11:00,S02,P017,3,8.5
T004409,2024-02-03 08:51:00,S01,P005,1,4.75
T005669,2024-02-12 11:19:00,S02,P005,1,4.75
T002414,2024-01-19 10:50:00,S01,P013,1,2.75
T009767,2024-03-13 09:51:00,S01,P005,1,4.75
T014450,2024-04-14 12:51:00,S03,P010,1,5.25
T004942,2024-02-07 11:43:00,S01,P003,1,4.5
T002410,2024-01-19 07:30:00,S01,P003,1,4.5
T010073,2024-03-15 07:27:00,S02,P005,1,4.75
T008834,2024-03-06 13:19:00,S03,P001,1,3.0
T004706,2024-02-05 07:51:00,S01,P008,1,4.5
T000369,2024-01-03 08:13:00,S03,P005,1,4.75
T004209,2024-02-01 18:37:00,S03,P013,1,2.75
