customer_id,signup_date,acquisition_channel,country
C00001,2024-01-27,organic,AU
C00002,2024-07-12,referral,US
C00003,2024-09-19,organic,UK
C00004,2024-04-27,organic,UK
C00005,2025-03-28,paid_search,US
C00006,2024-07-18,organic,UK
C00007,2025-01-13,social,CA
C00008,2024-06-23,referral,DE
C00009,2024-01-09,organic,UK
C00010,2024-03-10,paid_search,US
C00011,2024-11-07,paid_search,US
C00012,2024-04-08,paid_search,US
C00013,2024-06-01,referral,UK
C00014,2024-02-22,organic,UK
C00015,2024-08-17,referral,UK
C00016,2024-12-23,organic,US
C00017,2024-08-10,organic,US
C00018,2024-11-10,referral,UK
C00019,2024-03-24,paid_search,US
C00020,2024-04-12,social,US
C00021,2024-04-15,paid_search,US
C00022,2024-11-05,paid_search,UK
C00023,2024-06-15,organic,US
C00024,2024-05-10,organic,US
C00025,2024-06-17,organic,AU
C00026,2024-11-22,social,CA
C00027,2024-10-08,organic,AU
C00028,2024-02-08,paid_search,DE
C00029,2024-12-31,referral,US
C00030,2024-12-02,social,US
C00031,2024-05-25,organic,US
C00032,2024-11-03,referral,DE
C00033,2024-11-29,paid_search,US
C00034,2024-11-12,referral,UK
C00035,2025-01-25,social,US
C00036,2025-01-16,paid_search,AU
C00037,2024-07-21,organic,UK
C00038,2024-10-07,social,DE
C00039,2025-03-04,organic,UK
C00040,2024-03-06,paid_search,US
C00041,2024-04-10,organic,CA
C00042,2024-12-31,referral,US
C00043,2024-01-18,social,DE
C00044,2024-08-16,organic,DE
C00045,2024-09-28,referral,AU
C00046,2024-03-30,paid_search,US
C00047,2024-03-27,organic,UK
C00048,2024-05-31,organic,UK
C00049,2024-07-31,paid_search,US
C00050,2024-06-08,organic,CA
C00051,2024-03-22,social,US
C00052,2024-03-18,social,FR
C00053,2024-09-06,referral,US
C00054,2024-08-17,organic,US
C00055,2025-01-12,paid_search,US
C00056,2024-08-31,organic,UK
C00057,2024-06-21,organic,CA
C00058,2024-03-22,organic,US
C00059,2025-03-05,social,AU
C00060,2024-11-22,paid_search,US
C00061,2024-04-09,social,US
C00062,2025-01-06,paid_search,US
C00063,2024-10-28,organic,DE
C00064,2024-11-20,social,CA
C00065,2024-12-20,organic,UK
C00066,2024-11-23,organic,US
C00067,2024-03-14,paid_search,UK
C00068,2024-06-05,referral,US
C00069,2025-03-21,social,CA
C00070,2024-10-01,paid_search,UK
C00071,2024-06-10,referral,US
C00072,2024-11-09,paid_search,UK
C00073,2024-10-17,social,DE
C00074,2024-12-16,organic,US
C00075,2024-01-04,organic,UK
C00076,2024-07-05,organic,FR
C00077,2024-07-15,social,US
C00078,2025-02-05,paid_search,UK
C00079,2024-01-12,organic,US
C00080,2024-02-21,organic,CA
C00081,2024-09-17,social,US
C00082,2025-02-09,organic,UK
C00083,2024-12-21,organic,US
C00084,2024-06-27,paid_search,US
C00085,2024-03-12,social,US
C00086,2024-12-24,organic,DE
C00087,2024-03-21,paid_search,US
C00088,2024-04-04,organic,US
C00089,2025-03-23,paid_search,DE
C00090,2024-06-06,referral,UK
C00091,2025-03-09,paid_search,US
C00092,2024-12-10,referral,US
C00093,2024-08-18,social,AU
C00094,2025-01-18,organic,DE
C00095,2024-04-04,paid_search,DE
C00096,2024-11-23,paid_search,DE
C00097,2025-03-08,referral,US
C00098,2024-03-25,organic,AU
C00099,2024-06-14,social,UK
C00100,2025-03-20,organic,US
C00101,2024-10-20,organic,US
C00102,2024-11-26,organic,US
C00103,2024-02-21,organic,FR
C00104,2024-08-29,organic,US
C00105,2024-01-04,organic,UK
C00106,2024-01-28,social,DE
C00107,2024-08-13,paid_search,US
C00108,2024-04-08,organic,US
C00109,2024-03-23,organic,DE
C00110,2024-07-30,organic,US
C00111,2024-09-28,social,AU
C00112,2024-01-08,social,US
C00113,2025-01-10,referral,US
C00114,2024-07-04,referral,CA
C00115,2024-03-07,referral,US
C00116,2024-06-21,paid_search,CA
C00117,2024-11-26,social,US
C00118,2024-12-04,organic,UK
C00119,2024-06-06,social,US
C00120,2025-02-19,referral,CA
C00121,2024-05-15,paid_search,AU
C00122,2024-09-20,social,FR
C00123,2024-08-08,social,US
C00124,2024-08-18,referral,US
C00125,2025-01-25,paid_search,CA
C00126,2024-06-08,paid_search,US
C00127,2024-07-07,referral,UK
C00128,2024-12-12,paid_search,US
C00129,2025-03-04,social,US
C00130,2024-03-26,social,DE
C00131,2024-09-29,organic,UK
C00132,2024-07-30,paid_search,US
C00133,2024-05-20,social,US
C00134,2024-03-01,organic,US
C00135,2024-12-08,paid_search,US
C00136,2025-03-22,organic,US
C00137,2024-05-08,paid_search,AU
