order_id,customer_id,order_date,order_value,num_items
O0003080,C00974,2025-02-28,41.21,1
O0004442,C01438,2024-02-12,70.55,2
O0000793,C00235,2024-09-14,29.91,2
O0004966,C01592,2025-03-27,86.81,1
O0002918,C00930,2024-07-11,127.11,4
O0003409,C01078,2024-01-10,59.63,3
O0005948,C01885,2024-01-30,64.56,1
O0000316,C00093,2024-09-12,52.44,1
O0001336,C00429,2024-05-31,44.85,3
O0003299,C01043,2025-01-09,74.7,1
O0002578,C00830,2024-03-29,87.76,4
O0006085,C01927,2024-05-09,52.2,1
O0006191,C01967,2024-08-20,112.51,4
O0001399,C00444,2024-11-27,58.75,1
O0001575,C00497,2024-10-20,138.55,1
O0005338,C01705,2024-06-18,48.74,2
O0005019,C01607,2024-12-25,64.58,1
O0002382,C00776,2024-08-31,88.16,4
O0002742,C00881,2024-07-30,209.08,1
O0004883,C01569,2025-04-01,75.88,3
O0002135,C00684,2025-02-19,62.2,1
O0005973,C01898,2025-02-25,82.75,1
O0004281,C01380,2024-04-02,134.33,4
O0004379,C01407,2025-01-19,47.19,1
O0002342,C00757,2025-01-28,29.43,1
O0003740,C01179,2024-04-20,174.73,2
O0002666,C00861,2025-04-10,152.39,3
O0003109,C00984,2025-03-26,66.37,1
O0005633,C01799,2024-02-27,143.3,1
O0002023,C00642,2024-09-10,122.09,3
O0002109,C00675,2024-12-19,176.89,2
O0000152,C00053,2024-11-07,120.07,1
O0001998,C00632,2024-05-16,46.86,3
O0000679,C00202,2024-09-14,53.91,4
O0001694,C00536,2024-08-28,85.18,5
O0003448,C01091,2025-02-27,31.24,2
O0003380,C01071,2025-03-14,235.47,1
O0001684,C00527,2024-05-22,32.83,5
O0004933,C01584,2024-12-10,109.89,1
O0003940,C01259,2024-07-24,127.98,2
O0004223,C01358,2024-09-17,100.69,1
O0003535,C01120,2024-12-27,54.4,4
O0003802,C01199,2024-05-30,115.95,2
O0000782,C00229,2025-02-08,202.8,1
O0001858,C00581,2025-03-23,76.59,1
O0003987,C01276,2024-01-16,45.58,2
O0004039,C01294,2024-11-07,89.84,1
O0002192,C00700,2024-11-24,175.29,2
O0003694,C01164,2024-06-07,86.19,4
O0004148,C01331,2024-08-25,88.77,4
O0000342,C00104,2024-12-23,53.83,2
O0002094,C00668,2024-04-08,51.05,1
O0000799,C00238,2024-12-16,204.78,2
O0002719,C00872,2024-04-28,84.11,1
O0006123,C01938,2025-02-21,58.89,3
O0000701,C00208,2024-06-10,45.73,1
O0005741,C01836,2024-11-04,37.49,3
O0005933,C01881,2024-07-07,65.77,3
O0001435,C00452,2024-07-07,128.4,1
O0002998,C00949,2024-12-04,119.12,1
O0004372,C01404,2024-10-13,30.78,5
O0001290,C00408,2024-05-22,123.54,2
O0006148,C01953,2024-05-13,52.13,1
O0001715,C00541,2025-02-15,80.85,4
O0005530,C01763,2025-04-21,76.66,3
O0005216,C01672,2025-03-09,65.24,2
O0003483,C01105,2025-01-04,111.25,2
O0000904,C00265,2024-10-10,79.11,1
O0005701,C01821,2024-10-11,132.02,2
O0001812,C00573,2025-01-17,32.72,4
O0003131,C00989,2025-02-23,73.98,1
O0003399,C01077,2024-07-15,84.91,1
O0002860,C00910,2024-06-08,36.35,3
O0005600,C01788,2024-06-19,57.77,5
O0002133,C00684,2025-01-28,65.12,2
O0004398,C01413,2024-05-15,29.55,2
O0005096,C01634,2024-07-08,96.32,2
O0004710,C01513,2024-04-08,34.35,1
O0001199,C00372,2024-07-01,162.41,3
O0005749,C01839,2024-09-06,89.57,3
O0001577,C00497,2024-12-28,110.33,2
O0002242,C00722,2024-09-19,45.46,4
O0000318,C00095,2024-04-09,90.52,1
O0002129,C00683,2025-02-28,139.81,1
O0003283,C01036,2025-03-26,49.32,5
O0003439,C01087,2025-03-28,167.08,1
O0004811,C01544,2025-03-08,68.86,2
O0001987,C00628,2024-04-21,50.88,2
O0005373,C01714,2024-01-25,162.36,1
O0002880,C00921,2024-10-03,89.55,3
O0004544,C01467,2024-11-11,52.4,2
O0001021,C00302,2025-02-05,98.72,2
O0004185,C01341,2024-09-30,59.93,1
O0000803,C00239,2024-10-26,63.17,3
O0006038,C01913,2025-01-29,68.89,5
O0002271,C00734,2024-11-27,49.86,2
O0003657,C01151,2024-03-08,90.55,1
O0000329,C00099,2024-10-06,97.86,2
O0005243,C01679,2025-01-05,134.26,3
O0004149,C01331,2024-09-27,75.03,4
O0004580,C01477,2024-12-12,13.41,1
O0003384,C01073,2024-06-27,54.57,1
O0003816,C01204,2024-09-10,221.29,3
O0000294,C00088,2025-04-17,115.45,2
O0005045,C01618,2025-02-06,39.92,3
O0003028,C00960,2024-04-27,67.15,2
O0003827,C01210,2025-02-04,43.76,2
O0000006,C00002,2024-09-09,189.06,2
O0002920,C00930,2024-09-19,126.29,2
O0003967,C01268,2024-05-15,25.74,2
O0004678,C01503,2024-07-14,38.37,1
O0001675,C00526,2024-12-22,105.86,3
O0002097,C00668,2024-08-06,37.71,2
O0001681,C00527,2024-02-23,28.57,2
O0006030,C01911,2025-03-10,189.95,1
O0002627,C00851,2025-03-05,99.18,3
O0004105,C01311,2024-11-10,78.85,2
O0005315,C01697,2024-07-14,119.44,1
O0000411,C00124,2024-09-29,79.17,5
O0002090,C00665,2024-11-01,42.71,1
O0000363,C00109,2024-06-08,92.51,1
O0000221,C00073,2024-11-10,72.65,2
O0005210,C01672,2024-11-18,67.12,5
O0002514,C00814,2024-06-05,82.88,2
O0006090,C01928,2024-05-22,31.88,1
O0000533,C00162,2024-10-21,68.43,2
O0002061,C00655,2024-02-18,57.39,1
O0002375,C00773,2024-12-19,73.18,3
O0005828,C01858,2024-10-15,71.36,2
O0000183,C00063,2025-01-25,160.43,2
O0004963,C01592,2024-12-19,84.48,1
O0004597,C01484,2024-01-21,95.29,5
O0001027,C00305,2024-08-27,119.44,1
O0003747,C01182,2025-01-20,35.94,1
O0003711,C01167,2025-01-07,118.88,2
O0003961,C01265,2025-04-10,59.16,3
O0004366,C01402,2024-09-01,24.63,1
O0002290,C00740,2024-11-08,91.77,1
O0002010,C00638,2024-03-07,32.66,4
O0006035,C01912,2024-09-27,63.53,2
O0004004,C01279,2025-02-15,74.16,1
O0001277,C00399,2025-01-14,64.2,4
O0001578,C00498,2024-07-26,113.17,2
O0002846,C00907,2025-03-13,113.1,2
O0002213,C00710,2024-09-29,66.84,4
O0003219,C01018,2025-03-19,31.89,1
O0002381,C00776,2024-08-14,76.86,3
O0002079,C00662,2025-02-05,85.33,1
O0003427,C01086,2024-09-25,95.41,2
O0000591,C00177,2024-08-23,28.98,5
O0003851,C01222,2025-03-09,44.91,3
O0001890,C00596,2024-02-11,95.69,1
O0001734,C00546,2025-02-03,44.35,5
O0004885,C01570,2024-11-25,92.97,1
O0000698,C00207,2025-01-05,76.63,2
O0000180,C00063,2024-12-18,136.31,2
O0001234,C00386,2024-05-19,49.26,1
O0005071,C01628,2024-07-29,134.58,1
O0004322,C01392,2024-11-28,94.35,2
O0001201,C00372,2024-07-28,279.25,3
O0002019,C00642,2024-06-23,117.68,1
O0000207,C00069,2025-03-22,52.68,1
O0001389,C00440,2024-07-17,55.88,2
O0005927,C01877,2025-04-25,37.36,3
O0002490,C00809,2024-05-13,51.67,2
O0003878,C01232,2024-12-29,74.67,1
O0004851,C01558,2024-07-26,31.8,2
O0005891,C01871,2024-09-07,186.86,5
O0000500,C00154,2024-12-29,62.12,1
O0004598,C01484,2024-02-14,57.91,1
O0004865,C01562,2024-02-19,97.03,1
O0002420,C00788,2025-04-29,66.69,1
O0003408,C01077,2025-02-23,64.34,1
O0000615,C00182,2024-09-23,24.02,2
O0004452,C01440,2024-05-28,63.66,2
O0004619,C01486,2025-01-25,86.31,1
O0000260,C00082,2025-02-12,85.97,1
O0004480,C01449,2024-03-09,34.13,2
O0003529,C01120,2024-08-21,60.81,1
O0001463,C00459,2024-10-10,43.27,1
O0005951,C01886,2024-08-03,40.39,2
O0006113,C01935,2024-08-21,91.12,1
O0002353,C00761,2024-07-07,68.92,2
O0000970,C00289,2025-01-29,240.54,3
O0003078,C00974,2025-01-12,70.93,2
O0003430,C01086,2025-03-10,102.99,1
O0004909,C01577,2025-02-23,93.83,3
O0004132,C01320,2025-04-11,68.2,2
O0005882,C01870,2024-05-04,120.36,1
O0002513,C00814,2024-05-12,88.73,1
O0005981,C01900,2025-01-12,83.71,1
O0005006,C01601,2025-03-09,64.38,3
O0004659,C01498,2024-12-26,145.73,2
O0003069,C00973,2024-10-29,70.27,2
O0002584,C00833,2024-09-24,34.2,1
O0006151,C01955,2024-04-28,73.05,1
O0003123,C00987,2025-03-07,79.24,3
O0000919,C00273,2024-12-07,30.85,3
O0002652,C00858,2024-09-30,43.28,2
O0003178,C01008,2024-07-26,103.33,4
O0006235,C01984,2024-11-20,57.33,1
O0001617,C00510,2025-01-20,118.39,1
O0000074,C00021,2024-05-05,40.94,3
O0000069,C00018,2025-01-08,61.7,1
O0000961,C00287,2024-11-15,68.68,1
O0005144,C01649,2024-10-10,41.75,3
O0003037,C00964,2024-06-20,66.91,4
O0002089,C00665,2024-10-13,25.23,2
O0004356,C01401,2024-09-14,108.1,2
O0004138,C01324,2025-04-20,95.63,4
O0002575,C00829,2024-10-29,98.14,1
O0005404,C01720,2025-03-04,43.84,2
O0000687,C00205,2024-10-19,27.73,2
O0003329,C01054,2024-08-27,68.19,1
O0005387,C01717,2024-07-01,117.95,1
O0004757,C01524,2024-07-29,50.57,2
O0006011,C01908,2025-04-08,124.42,1
O0005652,C01803,2025-03-18,48.93,2
O0005786,C01845,2024-10-07,57.55,1
O0004578,C01475,2025-04-04,70.18,1
O0005997,C01906,2025-03-01,57.43,1
O0000600,C00178,2025-03-20,82.66,1
O0000764,C00222,2025-01-16,61.84,3
O0005959,C01889,2024-07-22,153.1,1
O0000200,C00068,2024-10-06,57.11,2
O0001719,C00543,2024-09-05,45.07,2
O0003469,C01099,2025-03-04,31.5,1
O0003690,C01162,2025-01-04,121.66,1
O0005155,C01655,2025-01-01,55.41,1
O0003758,C01184,2024-04-06,152.92,2
O0000526,C00160,2025-01-14,75.5,3
O0005391,C01718,2024-07-03,63.92,2
O0004335,C01395,2024-09-17,56.12,3
O0002334,C00754,2024-10-20,138.85,3
O0003354,C01062,2024-03-04,153.81,1
O0004533,C01463,2025-01-15,53.71,4
O0001754,C00554,2024-11-11,111.12,3
O0000083,C00023,2024-10-01,39.05,1
O0005073,C01629,2024-12-16,187.4,4
O0004525,C01462,2025-02-17,50.12,1
O0001928,C00606,2024-06-26,69.32,4
O0002841,C00905,2025-01-06,76.17,5
O0001103,C00335,2024-10-20,30.83,4
O0004611,C01485,2024-12-30,27.84,5
O0000078,C00022,2025-02-11,64.28,1
O0001967,C00621,2024-04-22,52.27,2
O0004155,C01333,2025-03-25,45.34,1
O0002444,C00799,2024-05-18,80.82,5
O0000295,C00088,2025-04-20,99.76,1
O0000263,C00083,2025-01-03,99.33,4
O0000185,C00064,2024-11-22,45.69,2
O0002690,C00864,2025-01-04,99.37,3
O0003578,C01133,2024-08-13,172.74,2
O0005314,C01697,2024-06-25,170.4,4
O0001135,C00345,2024-08-30,68.5,1
O0004778,C01532,2024-12-30,24.4,1
O0003765,C01189,2024-02-25,69.97,1
O0004076,C01301,2024-11-10,29.99,1
O0000111,C00035,2025-01-27,38.19,2
O0000680,C00202,2024-10-04,77.57,3
O0001830,C00577,2025-01-11,48.83,1
O0001706,C00540,2024-11-25,111.31,1
O0004435,C01434,2024-10-21,81.28,1
O0000528,C00160,2025-03-09,63.15,4
O0000552,C00167,2024-08-08,48.48,4
O0003160,C01002,2024-10-08,53.99,3
O0000468,C00141,2024-10-30,47.79,1
O0005278,C01688,2024-11-03,104.64,1
O0004743,C01517,2025-03-27,82.73,1
O0005407,C01720,2025-04-20,49.81,2
O0004901,C01574,2025-03-20,35.01,3
O0002223,C00714,2024-03-18,70.48,2
O0002141,C00688,2025-01-15,122.92,2
O0000376,C00112,2024-01-11,75.36,1
O0001608,C00508,2024-04-27,64.78,3
O0005694,C01818,2025-01-26,43.51,1
O0000829,C00245,2025-02-05,114.71,4
O0000352,C00108,2024-07-04,24.95,3
O0000987,C00295,2024-12-15,79.94,2
O0005583,C01780,2025-01-23,107.93,2
O0000386,C00114,2024-09-12,205.98,4
O0001882,C00593,2024-09-12,68.19,1
O0002121,C00682,2025-02-08,42.76,2
O0003033,C00961,2025-04-30,66.12,3
O0001273,C00397,2025-02-10,61.0,2
O0002811,C00898,2025-03-05,198.39,2
O0004416,C01423,2024-06-07,139.69,1
O0003170,C01005,2025-03-02,53.52,1
O0004587,C01478,2024-08-19,70.94,2
O0005410,C01721,2025-03-15,97.0,1
O0003223,C01020,2024-06-15,64.35,4
O0005177,C01661,2025-02-06,42.51,3
O0006032,C01911,2025-04-25,244.62,1
O0001066,C00324,2025-01-18,45.24,1
O0005644,C01801,2024-12-31,65.63,2
O0004629,C01488,2025-02-04,100.69,2
O0002745,C00883,2025-02-01,40.03,1
O0001084,C00329,2024-05-06,94.24,4
O0001606,C00507,2024-04-12,58.22,1
O0003733,C01176,2025-02-14,160.02,5
O0003321,C01052,2024-05-09,166.22,1
O0003053,C00969,2025-03-14,63.33,1
O0004337,C01397,2024-01-28,159.06,1
O0002740,C00880,2024-12-16,80.66,3
O0000848,C00251,2024-08-04,184.73,1
O0003277,C01035,2024-03-19,22.12,3
O0005310,C01696,2024-05-19,110.0,3
O0000467,C00141,2024-10-29,84.55,5
O0002179,C00694,2024-10-18,19.71,1
O0002324,C00750,2024-03-02,36.28,2
O0004348,C01398,2024-10-16,146.67,2
O0001895,C00596,2024-05-19,116.9,3
O0004803,C01540,2025-04-23,43.83,1
O0001645,C00519,2025-03-09,68.41,2
O0003610,C01138,2024-06-30,185.21,1
