Sensor ID,Timestamp,temp_C,Pressure (kPa),vibration_mm_s,STATUS
SEN-001,2025-01-02 17:01:17,64.2,104.12,0.5914,ok
SEN-024,2025-01-09 15:44:07,73.9,98.75,0.4186,error
SEN-025,08-01-2025 12:59:19,58.18,103.49,0.4441,ok
SEN-010,2025-01-09T08:58:43,54.1,94.29,0.3885,ok
SEN-009,2025-01-03 13:44:50,68.62,96.18,0.5506,ok
SEN-008,11-01-2025 08:46:18,71.14,94.64,0.3653,ok
SEN-009,2025-01-13 10:58:45,67.27,97.25,0.3635,ok
SEN-014,2025-01-10 05:29:39,67.09,99.96,0.6226,ok
SEN-002,2025-01-02 10:00:07,64.79,98.26,0.5121,ok
SEN-003,2025-01-12T03:31:12,66.61,98.49,0.674,ok
SEN-018,2025-01-05 01:44:40,63.91,95.32,0.542,ok
SEN-024,2025-01-12 13:13:57,73.79,96.91,0.4379,OK
SEN-018,2025-01-03 03:28:39,67.36,95.06,0.5948,ok
SEN-006,04-01-2025 00:13:38,67.64,103.58,0.5499,ok
SEN-021,2025-01-02T08:30:16,56.34,102.38,0.5453,ok
SEN-019,08-01-2025 02:29:34,72.8,104.69,0.4182,ok
SEN-015,2025-01-07T05:30:16,55.09,103.9,0.5267,ok
SEN-006,2025-01-04 08:13:56,72.91,103.02,0.491,ok
SEN-015,2025-01-06 08:30:52,57.1,101.63,0.5791,ok
SEN-001,12-01-2025 08:15:55,64.66,102.65,0.4815,ok
SEN-021,2025-01-12 03:00:00,54.42,101.1,0.5237,ok
SEN-015,2025-01-13 07:28:51,56.71,101.97,0.5569,ok
SEN-009,01/13/2025 12:15:01,66.89,97.91,0.4476,ok
SEN-002,01-01-2025 06:59:45,64.06,97.42,0.5474,ok
SEN-003,2025-01-13 10:43:38,67.72,96.51,0.5521,warning
SEN-009,2025-01-03 06:00:17,64.18,97.19,0.5034,ok
SEN-013,13-01-2025 22:14:12,69.03,102.75,0.5795,ok
SEN-005,01/12/2025 23:43:41,67.87,101.33,0.5404,ok
SEN-007,2025-01-10 07:59:16,66.8,103.43,0.5739,ok
SEN-002,01/02/2025 03:43:44,64.29,98.97,0.5778,Ok
SEN-025,2025-01-11T01:29:53,52.4,103.53,0.3827,ok
SEN-007,2025-01-14 14:16:04,69.25,102.43,0.4779,ok
SEN-012,2025-01-04 02:58:59,69.07,103.44,0.4769,ok
SEN-009,2025-01-02 22:00:23,66.58,95.77,0.4761,ok
SEN-022,2025-01-09 14:14:17,73.24,95.47,0.4452,ok
SEN-022,05-01-2025 22:15:55,71.07,95.34,0.4906,ok
SEN-010,2025-01-10 09:13:50,55.21,95.62,0.4845,ok
SEN-002,2025-01-05 05:15:29,64.0,96.3,0.4853,ok
SEN-002,2025-01-02 16:28:39,63.14,98.74,0.4594,ok
SEN-003,02-01-2025 21:13:57,66.41,98.26,0.5484,ok
SEN-005,01/04/2025 17:29:23,69.52,103.42,0.5088,ok
SEN-015,2025-01-01 01:14:01,53.38,101.66,0.5264,ok
SEN-008,2025-01-05 08:00:14,69.82,97.86,0.5309,ok
SEN-007,2025-01-04T20:30:42,64.79,103.07,0.5288,ok
SEN-014,2025-01-04 01:30:47,64.58,98.7,0.6149,ok
SEN-020,2025-01-01T19:28:55,63.72,105.1,0.4503,ok
SEN-016,06-01-2025 20:16:18,69.63,103.32,0.5183,ok
SEN-007,2025-01-06 03:14:17,66.32,103.17,0.5178,ok
SEN-011,01-01-2025 03:44:25,66.27,98.76,0.5941,ok
SEN-014,2025-01-14T13:14:46,71.76,98.95,0.6363,ok
SEN-003,2025-01-14 07:44:52,67.84,97.24,0.5685,ok
SEN-006,2025-01-05T14:31:14,71.64,103.57,0.5203,ok
SEN-005,01/10/2025 07:00:43,70.99,103.08,0.5305,ok
SEN-004,2025-01-09T17:58:31,66.26,96.42,0.5824,ok
SEN-007,2025-01-10 21:29:25,64.08,104.86,0.5636,ok
SEN-020,2025-01-02 11:59:28,66.31,104.77,0.4837,ok
SEN-022,2025-01-14 06:16:00,71.6,95.22,0.4604,ok 
SEN-012,2025-01-10 04:44:27,69.67,102.25,0.4182,ok
SEN-020,01/06/2025 20:13:47,65.83,105.26,0.4784,ok
SEN-023,2025-01-09 15:59:00,,95.44,0.4508,ok
SEN-001,2025-01-10T04:16:09,61.55,102.23,0.4744,ok
SEN-018,05-01-2025 04:14:13,66.01,95.21,0.5676,ok
SEN-013,11-01-2025 12:15:17,74.29,100.84,0.5438,ok
SEN-005,2025-01-14T22:29:34,69.55,103.14,0.5404,ok
SEN-009,2025-01-14 23:30:45,62.95,96.05,0.4486, ok
SEN-023,2025-01-09 04:15:43,55.94,95.38,0.3531,ok
SEN-021,2025-01-02 19:00:38,54.74,101.23,0.6283,ok
SEN-014,2025-01-07 10:14:17,67.36,98.19,0.5918,ok
SEN-010,2025-01-12 01:13:46,53.3,94.26,0.3744,ok
SEN-002,14-01-2025 00:29:51,60.31,96.07,0.463,ok
SEN-003,08-01-2025 04:30:39,66.09,97.66,0.5562,ok
SEN-014,2025-01-01 20:28:59,64.2,98.12,0.4836,ok
SEN-011,2025-01-01 08:43:45,69.6,99.76,0.6207,ok
SEN-022,2025-01-14 11:14:35,74.54,96.21,0.4831,ok
SEN-016,2025-01-03 03:29:15,67.49,102.95,0.5266,ok
SEN-005,2025-01-13 13:58:38,73.34,102.05,0.5863,ok
SEN-002,2025-01-03 12:13:36,64.96,96.39,0.5234,ok
SEN-021,2025-01-08 12:59:33,59.39,101.76,0.5048,ok
SEN-006,2025-01-09T01:14:17,69.21,103.15,0.5263,ok
SEN-021,10-01-2025 11:28:36,57.0,102.73,0.5397,ok
SEN-014,14-01-2025 14:44:07,71.07,99.38,0.649,ok
SEN-002,2025-01-11 04:44:07,61.59,97.49,0.4889,ok
SEN-007,2025-01-04 08:58:43,69.05,104.3,0.5124,ok
SEN-002,2025-01-14 23:01:10,59.86,95.93,0.5566,ok
SEN-020,09-01-2025 03:59:42,65.77,103.96,0.3313,ok
SEN-017,2025-01-10T23:58:48,65.13,101.74,0.4616,ok
SEN-024,2025-01-03 00:28:43,71.77,97.23,0.4998,ok
SEN-019,2025-01-12T00:00:21,72.44,103.82,0.3398,ok
SEN-003,2025-01-01 18:31:00,67.4,99.53,0.7044,ok
SEN-006,2025-01-05 17:30:22,72.0,103.48,0.4965,ok
SEN-017,2025-01-02 20:29:12+00:00,65.65,100.64,0.5605,ok
SEN-018,14-01-2025 01:00:29,65.69,95.16,0.5739,ok
SEN-008,2025-01-03 19:44:51,68.04,96.44,0.4141,ok
