sensor_id,Install Date,Location,Model,fw_ver
SEN-001,2024-03-02,Plant_A_North,TX-100,1.3.0
SEN-002,2024-06-19,Plant_A_North,PX-50,2.0.1
SEN-003,2024-03-15,Plant_A_South,PX-50,2.0.1
SEN-004,2024-01-13,Plant_A_South,PX-50,2.0.1
SEN-005,2024-01-11,Plant_B_West,TX-100,1.3.0
SEN-006,2023-08-19,Plant_B_West,TX-100,1.3.0
SEN-007,2024-02-08,Plant_A_North,PX-50,1.2.4
SEN-008,2024-04-13,Plant_B_West,PX-50,1.3.0
SEN-009,2023-10-06,Plant_A_North,PX-50,1.2.4
SEN-010,2024-06-07,Warehouse_1,TX-100,1.3.0
SEN-011,2024-03-19,Plant_A_South,PX-50,1.3.0
SEN-012,2023-09-22,Plant_B_East,TX-100,1.2.4
SEN-013,2023-10-19,Plant_B_East,TX-100,1.2.4
SEN-014,2023-09-04,Plant_A_South,PX-50,2.0.1
SEN-015,2023-07-22,Warehouse_1,TX-100,1.2.3
SEN-016,2023-11-16,Plant_B_East,TX-200,1.2.4
SEN-017,2023-08-20,Plant_A_South,PX-50,1.2.3
SEN-018,2023-09-03,Plant_A_South,PX-50,1.2.3
SEN-019,2024-03-04,Plant_B_East,TX-100,1.2.3
SEN-020,2024-05-01,Plant_A_North,PX-50,1.2.4
SEN-021,2023-10-03,Warehouse_1,TX-200,1.2.4
SEN-022,2024-05-05,Plant_B_East,TX-200,2.0.1
SEN-023,2024-05-30,Warehouse_1,TX-100,1.2.3
SEN-024,2024-02-14,Plant_B_East,TX-100,1.2.4
SEN-025,2024-03-03,Warehouse_1,PX-50,2.0.1
