sub_id,user_id,Plan,Price ($/mo),Start,End,Payment Method,Canceled
S001056,U00760,basic,8.99,13-10-2023,,credit_card,false
S001165,U00843,premium,17.99,2024-11-05,,paypal,0
S001243,U00895,standard,13.99,2023-12-27,2024-08-04,google_pay,0
S001428,U01033,standard,13.99,2023-09-07,,apple_pay,no
S000005,U00002,basic,8.99,06/27/2022,05-11-2022,paypal,N
S000172,U00117,premium,17.99,22-10-2023,06/23/2024,paypal,N
S001205,U00869,basic,8.99,2024-01-30,,credit_card,no
S001530,U01112,basic,8.99,2024-07-07,,credit_card,FALSE
S000307,U00220,standard,13.99,2022-08-18,,paypal,no
S001413,U01021,premium,17.99,2023-10-09,03-02-2024,credit_card,false
S001767,U01277,standard,13.99,2023-01-29,,apple_pay,false
S000445,U00323,standard,13.99,2023-04-12,,credit_card,false
S000202,U00140,basic,8.99,2024-09-28,2025-03-31,paypal,no
S000343,U00245,basic,8.99,2022-10-30,2023-06-06,google_pay,true
S001820,U01312,standard,13.99,2023-06-01,2024-04-28,paypal,false
S001455,U01053,basic,8.99,13-03-2025,,credit_card,N
S000789,U00572,premium,17.99,2025-01-13,,google_pay,FALSE
S000342,U00244,basic,8.99,29-06-2022,,google_pay,N
S000802,U00582,basic,8.99,2024-11-12,2025-03-22,paypal,true
S001143,U00826,basic,8.99,2023-07-05,,paypal,N
S000415,U00297,basic,8.99,"Aug 18, 2024",03/31/2025,apple_pay,FALSE
S000285,U00205,premium,17.99,2023-12-01,,apple_pay,no
S001291,U00932,basic,8.99,2025-02-27,2025-03-31,paypal,no
S000208,U00143,standard,13.99,2024-09-25,,apple_pay,FALSE
S001558,U01131,basic,8.99,2024-01-28,22-02-2025,paypal,false
S000407,U00293,basic,8.99,2023-01-30,2023-12-10,apple_pay,N
S000735,U00534,premium,17.99,2024-09-20,"Dec 04, 2024",paypal,true
S001580,U01146,premium,17.99,2024-03-27,,credit_card,N
S001905,U01375,basic,8.99,2024-03-25,,apple_pay,false
S001992,U01443,premium,17.99,"Jul 13, 2022",,apple_pay,FALSE
S000078,U00053,premium,17.99,2022-11-06,2023-07-01,paypal,N
S001232,U00887,standard,13.99,29-03-2022,2023-03-26,credit_card,N
S001602,U01162,basic,8.99,22-06-2022,,google_pay,FALSE
S000478,U00347,premium,17.99,20-08-2024,17-10-2024,google_pay,1
S001158,U00838,premium,17.99,31-03-2022,,google_pay,false
S001781,U01286,standard,13.99,2024-04-17,2024-12-17,google_pay,0
S001311,U00950,standard,13.99,01/10/2022,"Aug 17, 2022",credit_card,no
S001943,U01402,standard,13.99,2023-12-21,,credit_card,FALSE
S000052,U00036,basic,8.99,08-06-2024,,google_pay,0
S001500,U01088,premium,17.99,2025-02-21,2025-03-31,google_pay,0
S001190,U00862,basic,8.99,2024-04-11,,paypal,FALSE
S000547,U00396,premium,17.99,01/15/2023,,credit_card,no
S001711,U01239,standard,13.99,2024-11-20,2024-12-24,paypal,yes
S001208,U00871,premium,17.99,01/30/2024,2024-05-12,credit_card,Y
S000749,U00545,basic,8.99,2024-02-15,,apple_pay,false
S001447,U01047,premium,17.99,2023-10-13,,google_pay,no
