User ID,Signup Date,Age,Gender,Country,signup_channel,Tier at Signup
U00001,2023-01-28,58,F,US,organic,standard
U00002,03/31/2022,36,F,AU,organic,basic
U00003,2024-07-21,59,F,AU,partner,basic
U00004,2023-05-13,48,M,DE,paid_search,basic
U00005,2023-05-14,37,F,US,paid_social,basic
U00006,03/22/2024,53,M,US,paid_social,basic
U00007,12/21/2023,42,M,US,paid_social,basic
U00008,2023-07-26,40,M,US,organic,standard
U00009,"Sep 19, 2022",22,M,UK,referral,standard
U00010,2023-03-20,56,M,US,partner,basic
U00011,2024-07-16,48,M,IN,partner,basic
U00012,2024-01-24,37,M,UK,paid_social,basic
U00013,07/08/2023,46,M,FR,organic,premium
U00014,2022-01-31,22,F,US,organic,premium
U00015,2024-01-11,35,M,FR,organic,standard
U00016,2023-08-14,21,F,DE,organic,standard
U00017,2022-09-28,57,NB,US,paid_social,standard
U00018,2024-04-24,17,F,DE,paid_social,premium
U00019,2023-08-20,41,F,IN,paid_search,standard
U00020,2022-03-23,22,M,UK,referral,standard
U00021,03-01-2023,37,M,US,paid_social,premium
U00022,12/16/2023,50,NB,US,referral,standard
U00023,2022-04-07,63,Prefer not to say,DE,organic,basic
U00024,2023-12-09,40,M,US,paid_search,premium
U00025,04-07-2022,51,F,IN,paid_social,premium
U00026,07/16/2024,30,M,DE,organic,standard
U00027,"Jan 23, 2023",49,F,DE,referral,premium
U00028,2023-04-29,26,M,US,organic,basic
U00029,"Oct 07, 2022",40,M,UK,paid_social,standard
U00030,2024-06-30,28,F,AU,paid_search,standard
U00031,08/30/2022,42,M,FR,organic,premium
U00032,02-08-2024,34,M,UK,organic,standard
U00033,2023-07-30,22,F,US,organic,premium
U00034,06/30/2024,24,M,US,organic,basic
U00035,2022-06-21,32,M,US,paid_search,standard
U00036,"Jun 08, 2024",37,M,FR,organic,basic
U00037,2023-05-30,22,M,US,paid_search,basic
U00038,2022-10-25,51,F,US,paid_search,standard
U00039,2023-09-28,62,M,US,organic,standard
U00040,2024-01-25,53,F,IN,referral,basic
U00041,"Apr 05, 2024",31,NB,IN,paid_social,standard
U00042,2023-09-06,29,M,AU,organic,standard
U00043,2022-03-23,20,M,UK,organic,standard
U00044,2024-11-13,20,F,US,paid_search,premium
U00045,2022-12-28,32,NB,US,organic,basic
U00046,"Dec 14, 2023",47,M,UK,paid_social,basic
U00047,2022-11-13,24,Prefer not to say,IN,paid_search,standard
U00048,2023-11-10,22,M,US,paid_search,premium
U00049,12/05/2023,32,M,AU,referral,basic
U00050,2022-06-24,42,F,CA,paid_search,premium
U00051,06/19/2023,38,F,US,referral,basic
U00052,2023-06-04,29,M,US,paid_search,premium
U00053,2022-08-20,17,M,MX,paid_search,premium
U00054,2024-06-19,41,F,UK,paid_social,standard
U00055,2024-11-21,38,F,BR,paid_social,basic
U00056,2024-08-31,38,M,US,referral,basic
U00057,03/13/2023,23,M,US,organic,premium
U00058,2023-02-17,24,M,IN,referral,standard
U00059,24-01-2022,40,M,US,paid_social,premium
U00060,2024-09-28,67,F,AU,organic,basic
U00061,"May 12, 2023",61,F,US,paid_social,premium
U00062,2022-08-21,52,M,UK,organic,basic
U00063,2024-02-19,33,M,CA,organic,premium
U00064,2023-07-05,41,NB,US,organic,premium
U00065,2022-03-14,50,F,AU,paid_search,standard
U00066,2022-11-21,37,M,UK,organic,premium
U00067,2023-09-30,30,M,CA,organic,basic
U00068,2024-08-15,47,F,UK,partner,basic
U00069,05/25/2023,30,M,JP,organic,basic
U00070,07/13/2023,38,F,US,partner,basic
U00071,2022-03-11,33,NB,MX,organic,basic
U00072,2022-07-22,35,F,US,referral,standard
U00073,"Dec 01, 2023",51,M,UK,paid_search,basic
U00074,2024-04-11,30,F,DE,paid_search,standard
U00075,2023-04-26,31,Prefer not to say,US,organic,premium
U00076,04/09/2024,37,F,CA,organic,basic
U00077,2023-11-29,22,F,US,partner,premium
U00078,2023-12-25,46,Prefer not to say,US,referral,basic
U00079,2022-12-25,64,F,US,organic,basic
U00080,2022-02-11,26,F,US,organic,premium
U00081,27-04-2022,51,Prefer not to say,AU,organic,standard
U00082,11/30/2023,50,M,US,organic,standard
U00083,2023-10-21,23,F,FR,paid_search,standard
U00084,23-11-2023,40,F,MX,referral,basic
U00085,2024-03-29,42,F,UK,organic,premium
U00086,2023-10-04,13,F,AU,paid_search,basic
U00087,04-07-2022,25,F,US,organic,premium
U00088,2022-11-11,59,M,AU,organic,standard
U00089,2023-09-26,21,M,CA,paid_search,premium
U00090,2024-12-20,21,NB,US,organic,basic
U00091,04/13/2023,39,F,JP,partner,standard
U00092,2024-10-24,19,F,FR,organic,premium
U00093,2022-11-28,61,M,US,paid_search,premium
U00094,03/13/2023,44,M,US,referral,basic
U00095,02/01/2022,41,F,AU,paid_social,standard
U00096,2024-02-10,22,F,IN,partner,premium
U00097,2024-06-07,23,F,US,organic,standard
U00098,"Oct 18, 2024",27,F,CA,organic,premium
U00099,2023-09-07,53,F,US,paid_social,standard
U00100,16-07-2024,32,F,US,referral,premium
U00101,18-06-2024,61,F,MX,partner,premium
U00102,2022-08-17,26,F,IN,organic,standard
U00103,2024-08-09,28,M,US,organic,premium
U00104,2023-11-19,58,Prefer not to say,US,organic,premium
U00105,"Apr 20, 2023",49,M,DE,paid_search,basic
U00106,05/13/2022,57,M,US,paid_social,basic
U00107,"Oct 30, 2022",44,M,CA,partner,basic
U00108,2022-06-08,58,F,US,partner,premium
U00109,"Jun 26, 2023",47,F,IN,organic,standard
U00110,"Jan 13, 2024",250,F,US,organic,premium
U00111,2023-07-05,21,F,US,paid_social,premium
U00112,"Feb 29, 2024",46,M,BR,referral,standard
U00113,12-02-2024,13,Prefer not to say,BR,paid_search,basic
U00114,2022-03-10,37,NB,US,paid_search,basic
U00115,2022-01-02,29,M,AU,paid_social,basic
U00116,02/18/2024,35,F,AU,paid_search,basic
U00117,10/22/2023,40,F,BR,paid_search,premium
U00118,22-06-2023,54,NB,UK,paid_search,premium
U00119,18-12-2024,38,F,US,organic,basic
U00120,09-11-2022,43,M,UK,paid_search,standard
U00121,2024-02-20,56,F,MX,paid_social,basic
U00122,"Feb 08, 2024",46,F,US,referral,premium
U00123,"Jul 02, 2024",46,M,UK,paid_social,standard
U00124,"Nov 03, 2022",52,F,US,paid_social,premium
U00125,2023-06-02,20,F,US,paid_search,basic
U00126,2023-07-17,22,NB,US,organic,standard
U00127,09/20/2022,33,F,BR,paid_search,basic
U00128,2024-06-25,24,F,US,referral,premium
U00129,"May 04, 2023",31,F,CA,partner,basic
U00130,2024-02-02,50,F,US,referral,basic
U00131,2022-02-22,29,F,CA,partner,standard
U00132,2024-08-27,44,F,US,paid_social,basic
U00133,2023-02-15,53,F,US,paid_search,premium
U00134,30-07-2024,48,F,US,organic,premium
U00135,2024-07-19,31,F,DE,paid_search,standard
U00136,05-05-2024,28,M,US,paid_social,basic
U00137,2022-01-13,35,F,CA,paid_social,basic
U00138,2023-09-04,43,M,UK,paid_social,basic
U00139,2023-06-11,50,F,US,organic,standard
U00140,"Sep 28, 2024",42,M,US,partner,basic
